,Car Name,Year,Kilometers,Fuel,Location,EMI,Price
75,MINI Clubman Cooper S,2020,"15,000 km",Petrol,Delhi,"EMI starts at₹3,238",2.95 Lakh
76,Bentley Continental Flying Spur Sedan,2008,"18,500 km",Diesel,Gurgaon,"EMI starts at₹44,838",6.15 Lakh
77,Porsche Cayenne Coupe Base,2022,"3,000 km",Petrol,Gurgaon,"EMI starts at₹28,895",7.3 Lakh
78,Mahindra XUV500 W10 1.99,2017,"82,000 km",Petrol,Gurgaon,"EMI starts at₹41,516",3.35 Lakh
79,Mercedes-Benz E-Class E 220d Exclusive [2019-2019],2022,"16,500 km",Petrol,Gurgaon,"EMI starts at₹4,168",5.35 Lakh
80,Mercedes-Benz GLS 400d 4MATIC,2021,950 km,Diesel,Delhi,EMI starts at₹5.56 L,3.1 Lakh
81,Mercedes-Benz S-Coupe S 63 AMG [2015-2018],2016,"16,500 km",Petrol,Noida,"EMI starts at₹79,296",4.25 Lakh
82,Mercedes-Benz CLA 200 CDI Sport,2020,"32,000 km",Petrol,Delhi,"EMI starts at₹26,554",2.6 Lakh
83,BMW 3 Series GT 320d Luxury Line [2014-2016],2015,"85,000 km",Petrol,Gurgaon,"EMI starts at₹81,372",4.9 Lakh
84,Porsche Panamera 3.0 Diesel,2013,"40,000 km",Petrol,Gurgaon,EMI starts at₹2.08 L,2.7 Lakh
85,Mercedes-Benz E-Class E 220 d Avantgarde,2018,"35,000 km",Petrol,Faridabad,"EMI starts at₹65,596",5.35 Lakh
86,Mercedes-Benz M-Class ML 350 CDI,2015,"85,000 km",Diesel,Faridabad,EMI starts at₹2.47 L,39 Lakh
87,Maruti Suzuki Ignis Delta 1.2 AMT,2019,"70,000 km",Petrol,Delhi,"EMI starts at₹17,852",1.95 Lakh
88,Maruti Suzuki Swift Lxi ABS (O),2017,"19,000 km",Diesel,Faridabad,EMI starts at₹1.3 L,27 Lakh
89,Mahindra Thar LX 4-STR Convertible Diesel AT,2021,"47,000 km",Petrol,Faridabad,EMI starts at₹2.29 L,20 Lakh
90,Hyundai Eon Era +,2012,"32,000 km",Diesel,Faridabad,"EMI starts at₹53,971",17.4 Lakh
91,Volvo S90 D4 Inscription,2018,"8,800 km",Diesel,Faridabad,"EMI starts at₹35,704",25 Lakh
92,Hyundai Verna Fluidic 1.6 VTVT SX Opt AT,2020,"38,000 km",Petrol,Delhi,"EMI starts at₹49,820",2.51 Lakh
93,Jeep Compass Sport 1.4 Petrol,2018,"85,000 km",Petrol,Delhi,"EMI starts at₹64,766",3.35 Crore
94,Volkswagen Polo Highline1.2L (P),2015,"18,500 km",Diesel,Delhi,"EMI starts at₹40,686",47.75 Lakh
95,Honda City V,2015,"1,500 km",Petrol,Delhi,"EMI starts at₹39,025",15.99 Lakh
96,Hyundai Elite i20 Magna 1.2 [2016-2017],2017,"1,10,000 km",Petrol,Delhi,"EMI starts at₹66,260",49 Lakh
97,Maruti Suzuki Wagon R 1.0 VXI,2017,"45,000 km",Petrol,Delhi,"EMI starts at₹38,942",1.25 Crore
98,Honda Brio S MT,2013,"11,000 km",Petrol,Delhi,EMI starts at₹1.03 L,1.68 Crore
99,Hyundai Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],2015,"46,000 km",Petrol,Delhi,"EMI starts at₹17,769",39.5 Lakh
100,Maruti Suzuki Alto 800 Lxi CNG,2013,"58,000 km",Petrol,Delhi,"EMI starts at₹98,809",48.5 Lakh
101,Honda Amaze 1.2 S i-VTEC,2015,"11,000 km",Petrol,Delhi,"EMI starts at₹16,357",1.49 Crore
102,Honda Brio S MT,2014,"3,800 km",Diesel,Delhi,"EMI starts at₹68,004",10.75 Lakh
103,Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],2014,"6,200 km",Diesel,Delhi,"EMI starts at₹26,155",78 Lakh
104,Toyota Camry W1 MT,2009,"29,000 km",Diesel,Delhi,"EMI starts at₹58,123",1.38 Crore
105,Maruti Suzuki Eeco 5 STR WITH A/C+HTR CNG [2017-2019],2021,"59,000 km",Petrol,Delhi,"EMI starts at₹69,748",1.61 Crore
106,Hyundai i20 Magna 1.2,2012,"17,000 km",Diesel,Delhi,EMI starts at₹1.07 L,32.5 Lakh
